eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.004444444444444473,0.00666666666666671,0.005555555555555536,0.030000000000000027
0.02,0.004444444444444473,0.00666666666666671,0.004444444444444473,0.030000000000000027
0.03,0.004444444444444473,0.00666666666666671,0.005555555555555536,0.028888888888888853
0.04,0.004444444444444473,0.00666666666666671,0.005555555555555536,0.030000000000000027
0.05,0.004444444444444473,0.007777777777777772,0.00666666666666671,0.03111111111111109
0.06,0.004444444444444473,0.007777777777777772,0.008888888888888835,0.0344444444444445
0.07,0.004444444444444473,0.007777777777777772,0.008888888888888835,0.03555555555555556
0.08,0.004444444444444473,0.007777777777777772,0.008888888888888835,0.0377777777777778
0.09,0.004444444444444473,0.007777777777777772,0.010000000000000009,0.03888888888888886
0.1,0.004444444444444473,0.007777777777777772,0.011111111111111072,0.0411111111111111
