eps,eTAOT
0.005,0.06666666666666676
0.01,0.06666666666666676
0.015,0.06666666666666676
0.02,0.06666666666666676
0.025,0.06666666666666676
0.03,0.06666666666666676
0.035,0.06666666666666676
0.04,0.06666666666666676
0.045,0.06666666666666676
0.05,0.06666666666666676
0.055,0.06666666666666676
0.06,0.06666666666666676
0.065,0.06666666666666676
0.07,0.06666666666666676
0.075,0.06666666666666676
0.08,0.06666666666666676
0.085,0.06666666666666676
0.09,0.06666666666666676
0.095,0.06666666666666676
0.1,0.06666666666666676
Final error,0.011111111111111072
