eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.01,0.2114285714285714,0.2285714285714285,0.2285714285714285,0.1885714285714286
0.02,0.2228571428571428,0.24,0.2342857142857143,0.1828571428571428
0.03,0.2285714285714285,0.2571428571428571,0.2571428571428571,0.1999999999999999
0.04,0.2514285714285714,0.2571428571428571,0.2514285714285714,0.2228571428571428
0.05,0.2514285714285714,0.2628571428571429,0.2571428571428571,0.2228571428571428
0.06,0.2571428571428571,0.2685714285714285,0.2628571428571429,0.2228571428571428
0.07,0.2514285714285714,0.2857142857142857,0.2628571428571429,0.2342857142857143
0.08,0.2514285714285714,0.2857142857142857,0.2685714285714285,0.2514285714285714
0.09,0.2628571428571429,0.2857142857142857,0.2914285714285715,0.2857142857142857
0.1,0.2685714285714285,0.2971428571428571,0.2971428571428571,0.2857142857142857
