eps,eTiOT,eTAOT$(\omega = \omega_{\text{grid}} \;/\; 5)$,eTAOT$(\omega = \omega_{\text{grid}})$,eTAOT$(\omega = \omega_{\text{grid}} \times 5)$
0.005,0.22680412371134018,0.22680412371134018,0.2405498281786942,0.20274914089347074
0.01,0.22680412371134018,0.24398625429553267,0.21649484536082475,0.20618556701030932
0.015,0.2096219931271478,0.23024054982817865,0.19587628865979378,0.21305841924398627
0.02,0.20274914089347074,0.21649484536082475,0.19931271477663226,0.21993127147766323
0.025,0.20274914089347074,0.20618556701030932,0.21305841924398627,0.21649484536082475
0.03,0.19931271477663226,0.20618556701030932,0.2233676975945017,0.2233676975945017
0.035,0.20618556701030932,0.21993127147766323,0.22680412371134018,0.2233676975945017
0.04,0.21305841924398627,0.21993127147766323,0.23711340206185572,0.23367697594501713
0.045,0.23711340206185572,0.23367697594501713,0.23024054982817865,0.2508591065292096
0.05,0.23024054982817865,0.2233676975945017,0.24398625429553267,0.2714776632302406
0.055,0.23711340206185572,0.23711340206185572,0.2542955326460481,0.30584192439862545
0.06,0.23367697594501713,0.2508591065292096,0.2680412371134021,0.3264604810996563
0.065,0.23367697594501713,0.2508591065292096,0.2989690721649485,0.3539518900343642
0.07,0.24398625429553267,0.24742268041237114,0.31958762886597936,0.3883161512027491
0.075,0.2508591065292096,0.2680412371134021,0.3436426116838488,0.39518900343642616
0.08,0.25773195876288657,0.27491408934707906,0.36426116838487976,0.41237113402061853
0.085,0.2542955326460481,0.2714776632302406,0.3883161512027491,0.43986254295532645
0.09,0.2646048109965635,0.302405498281787,0.40893470790378006,0.436426116838488
0.095,0.28865979381443296,0.2852233676975945,0.4192439862542955,0.4467353951890034
0.1,0.29209621993127144,0.2955326460481099,0.40893470790378006,0.45360824742268047
